name,abbreviation
Addgene,ADDGENE
C. elegans Development Ontology,WBLS
Digital Object Identifier,DOI
Drosophila Development,FBDV
Edinburgh Mouse Atlas Project,EMAPA
Human Developmental Stages,HSAPDV
Mouse Developmental Stages,MMUSDV
Mouse Genome Informatics,MGI
National Center for Biotechnology Information,NCBI
NCBI GenBank,GENBANK
Open Researcher and Contributor ID,ORCID
Research Organization Registry,ROR
Research Resource Identifiers,RRID
Universal Protein Resource,UNIPROT
